Mot (Nikkud),Dictionnaire,Sens (Attendu),Correct?,Meme exact?,Correction,Modele,Statut manuel,Note manuelle,Notes
גְּרֵידָא,גְּרִידָא (שבת קט ב)   - גְּרוּדָה,seulement,✗,false,גְּרִידָא,,,,Le sens « seulement » correspond à la forme araméenne גרידא vocalisée avec hiriq sous ר (גְּרִידָא) selon le dictionnaire et les occurrences du Talmud.
דְּאוֹרָיְיתָא,דְּאוֹרָיְיתָא - מִן הַתּוֹרָה,(loi) de la torah,✓,-,-,,,,Vocalisation correcte selon le dictionnaire et les occurrences talmudiques.
דְּאִי,,car si,✓,-,-,,,,"דְּאִי est la forme standard signifiant «car si», avec dagesh, shva et hiriq corrects"
דְּאִי אִתְּמַר,דְּאִי לָא תֵימָא הָכִי - שֶׁאִם אִי אַתָּה אוֹמֵר כֵּן,car si on avait dit,✓,-,-,openai/gpt-oss-120b,,,"Vocalisation correcte : דְּאִי avec sheva sous ד et hiriq sous א ; אִתְּמַר avec hiriq sous א, dagesh+sheva sous ת, patach sous מ."
דְּאִי אַשְׁמוֹעִינַן,דְּאִי לָא תֵימָא הָכִי - שֶׁאִם אִי אַתָּה אוֹמֵר כֵּן,car si on nous avait appris,✓,-,-,qwen/qwen3-32b,,,"La vocalisation étudiante correspond exactement à l'usage talmudique vérifié dans les trois contextes fournis. La forme 'דְּאִי אַשְׁמוֹעִינַן' est correcte pour exprimer 'si on nous avait appris', avec le dagesh et les voyelles conformes à l'araméen babylonien."
דְּאִי לָא תֵימָא הָכִי,דְּאִי לָא תֵימָא הָכִי - שֶׁאִם אִי אַתָּה אוֹמֵר כֵּן,car si tu ne dis pas ainsi,✓,-,-,openai/gpt-oss-120b,,,Vocalisation conforme à l’usage talmudique pour «si tu ne dis pas ainsi»
דְּאָמְרִי תַרְוַיְיהוּ,דְּאָמְרִי תַרְוַיְיהוּ - שֶׁאוֹמְרִים שְׁנֵיהֶם,qui ont dit tous les deux,✓,-,-,qwen/qwen3-32b,,,La vocalisation étudiante correspond exactement à l'usage attesté dans les contextes gemarriques pour le sens 'qui ont dit tous les deux'. Les formes dans les sources (דְאָמְרִי תַּרְוַיְיהוּ) confirment la vocalisation actuelle.
דּוּמְיָא,דּוּמְיָא - בְּדוֹמֶה,en ressemblant/ça ressemble,✓,-,-,,,,"Vocalisation correcte : דּוּמְיָא (dagesh, shuruk, shva, kamatz) correspondant au sens « en ressemblant »."
דָּיֵיק,דָּיֵיק - מְדַקְדֵּק; מֵדֵק; כּוֹתֵשׁ; כָּתוּשׁ; מוּדָק,il déduit,✓,-,-,,,,"Vocalisation conforme aux sources talmudiques, participe actif qal signifiant « il déduit »"
דִּילְמָא,דִּילְמָא - שֶׁמָּא,peut-être/de peur que,✓,-,-,,,,"Le dagesh et le chirik sur ד, le shva sous ל, le kamatz sous מ sont corrects pour le sens «peut‑être/de peur que»."
דַּיְקָא נָמֵי,דִּיקָא - מְדֻקְדֶּקֶת,on peut également déduire,✗,false,דִּיקָא נָמֵי,openai/gpt-oss-120b,,,Le mot doit s’écrire דִּיקָא avec dagesh et hiriq; la forme דַּיְקָא est erronée pour le sens « on peut également déduire ».
דְּכּוּלֵּי עָלְמָא,,car (que) tout le monde,✓,-,-,openai/gpt-oss-120b,,,"Vocalisation conforme à la forme talmudique «דְּכוּלֵּי עָלְמָא», shva, dagesh et tzéré corrects."
דִּכְתִיב,דִּכְתִיב - שֶׁכָּתוּב; שֶׁנֶּאֱמַר,comme il est écrit/qu'il est écrit,✓,-,-,,,,"Le nikkud correspond à la forme standard du mot araméen דִּכְתִיב signifiant «comme il est écrit», avec dagesh et hiriq corrects"
דִּלְמָא,דִּלְמָא - שֶׁמָּא,peut-être/de peur que,✓,-,-,,,,"Vocalisation correcte : dagesh au dalet, chirik sous le dalet, shva sous le lamed, kamatz sous le mem, correspondant au sens « peut‑être/de peur que »."
דָּמֵי,דְּמֵי - דָּמִים (=מחיר),(il) ressemble,✓,-,-,,,,דָּמֵי avec kamatz sous דּ et tzére sous מ signifie « ressemble »; la vocalisation est correcte pour ce sens.
דְּמֵי,דְּמֵי - דָּמִים (=מחיר),la valeur/les sous,✓,-,-,,,,"Vocalisation correcte : dalet avec dagesh et shva, mem avec tzere, suffix -י, correspond à « dmei » = valeur, prix"
דְרַבֵּיהּ,,de son maître,✗,false,דְּרַבֵּיהּ,,,,Le dalet doit porter un dagesh (דְּ) dans la forme constructuelle «דְּרַבֵּיהּ» signifiant «de son maître».
דְרַבָּנָן,,(loi) de nos sages/car les sages...,✗,false,דְּרַבָּנָן,,,,Le préfixe de‑ doit porter un dagesh (דְּ); le reste du nikkud est correct pour le sens « de nos sages ».
דָּרוֹם,,sud,✗,false,דָרוֹם,,,,"Le dalet de «דָרוֹם» ne porte pas de dagesh; la vocalisation correcte est qamatz sous le dalet et cholam sur le resh, correspondant au sens «sud»."
דְרָמֵי אַהֲדָדֵי,,qui posent une contradiction,✗,-,-,qwen/qwen3-32b,,,Le dagesh dans ה (הֲ) est incorrect dans אַהֲדָדֵי. La forme correcte est הַדָּדֵי pour le pluriel de hadad (contradiction). Correction IA rejetee car elle modifie le texte arameen au lieu du seul nikkud.
דְּרַשׁ,דְּרַשׁ - דָּרַשׁ,il a enseigné,✗,false,דָּרַשׁ,,,,"Le passé « il a enseigné » s’écrit דָּרַשׁ avec kamatz sous דּ, pas shva ; דְּרַשׁ est forme imparfaite"
דָּרְשִׁי,דָּרְשִׁי - דּוֹרְשִׁים,ils ont enseigné,✓,-,-,,,,Le nikkud correspond à la forme plurielle du verbe דרש signifiant « ils ont enseigné » ; la vocalisation donnée (דָּרְשִׁי) est attestée dans les passages cités.
דָּרְשִׁינַן,דָּרְשִׁינַן - אָנוּ דוֹרְשִׁים; נִדְרֹשׁ,on apprend (du verset),✓,-,-,,,,"Forme plurielle 1ʳʸ pers. du verbe דרש, vocalisation conforme au sens «on apprend»."
הֲוָה,הֲוָה - הָיָה; הָיִיתִי,forme du passé (au singulier),✓,-,-,,,,"Forme parfaite 3ms du verbe הוה, signifiant « était » en araméen babylonien."
הֲוָה אָמֵינָא,הֲוָה אָמֵינָא - הָיִיתִי אוֹמֵר,j'aurais pu dire (penser),✗,true,הֲוָה אָמֵינָא,openai/gpt-oss-120b,,,"La forme correcte est הֲוָה אָמֵינָא, signifiant «j'aurais pu dire», avec patach sous ה, shva sous ו, kamatz sous א, tzere sous מ, etc."
הֲווֹ,הֲווֹ - הָיוּ; הֱיוּ; הֵם,forme du passé (au pluriel),✓,-,-,,,,"הֲווֹ est la forme passée plurielle du verbe ""הוה"" (être) en araméen babylonien, vocalisée avec hataf patach sous ה et holam sous ו, correspondant à ""ils étaient""."
הָוְיָא,הַוְיָא - הָיְתָה,c'est,✓,-,-,,,,"הָוְיָא avec patach sous ה, sheva sous ו, kamatz sous י correspond à la forme araméenne signifiant « c’est » dans la Guemara"
הֵיכָא,הֵיכָא - הֵיכָן,où/la où,✓,-,-,,,,La forme vocalisée standard du mot araméen "היכא" signifiant « où » est הֵיכָא ; la vocalisation fournie correspond à l'usage du Talmud.
הֵיכִי,הֵיכִי - אֵיךְ,quand/comment,✓,-,-,,,,"Vocalisation correcte : הֵיכִי correspond à l’adverbe araméen « comment, quand »"
הֵיכִי דָמֵי,הֵיכִי דָמֵי - כֵּיצַד,de quoi s'agit-il/quel est le cas,✗,true,הֵיכִי דָמֵי,openai/gpt-oss-120b,,,"«הֵיכִי דָמֵי» est une locution araméenne interrogative : הֵיכִי ‘comment/quel’ + דָמֵי ‘de quoi/quel est le cas’, correspondant au sens français indiqué."
הִילְכְתָא,,halakha/loi donnée à Moché rabbénou au Mont Sinaï,✓,-,-,openai/gpt-oss-120b,,,"Vocalisation correcte : הִילְכְתָא (He‑hiriq, Yod support du i, Lamed‑shva, Kaf‑shva, Tav‑kamatz, Aleph) signifie « halakha » en araméen"
הָכָא,הָכָא - כַּאן,ici,✓,-,-,,,,"Vocalisation correcte : הָכָא, signifiant « ici » en araméen; aucune modification de lettres n’est requise."
הָכָא בְּמַאי עֲסִיקִינַן,הָכָא בְּמַאי עֲסִיקִינַן - כַּאן בַּמָּה אָנוּ עֲסוּקִים,ici de quoi parle-t-on,✓,-,-,openai/gpt-oss-120b,,,"Vocalisation conforme à la forme du dictionnaire, aucune correction nécessaire."
הָכָא כְּתִיב,הָכָא - כַּאן,ici il est écrit,✓,-,-,openai/gpt-oss-120b,,,Vocalisation correcte : הָכָא (kamatz sous ה et kaf) correspond à « ici » en araméen.
הָכָא מֵעִנְיָינֵיהּ דִּקְרָא,הָכָא - כַּאן,ici on va selon le sujet du verset,✓,-,-,openai/gpt-oss-120b,,,"Vocalisation conforme aux sources talmudiques : הָכָא (kamatz), מֵעִנְיָינֵיהּ (segol, hiriq, dagesh), דִּקְרָא (dagesh, hiriq, kamatz)."
הָכִי - אִין הָכִי נַמֵּי/הָכִי נַמֵּי,הָכִי - כַּךְ,ainsi/voir aussi,✓,-,-,openai/gpt-oss-120b,,,La vocalisation «הָכִי» pour «ainsi/voir aussi» et «אִין» pour «il n'y a pas» sont correctes dans le contexte donné.
הָכִי אִתְּמַר,הָכִי - כַּךְ,ainsi il a été dit,✓,-,-,openai/gpt-oss-120b,,,"Vocalisation correcte : הָכִי (kamatz, hiriq) et אִתְּמַר (shva, dagesh tav, shva, patach) correspondant au sens « ainsi il a été dit »."
הָכִי נַמֵּי,הָכִי נַמֵּי - אַף כַּךְ [הוּא],effectivement/de cette même façon,✓,-,-,openai/gpt-oss-120b,,,"Le nikkud correspond à la forme dictionnaire הָכִי נַמֵּי signifiant « effectivement », conforme aux occurrences du Talmud."
הָכִי קָאָמַר,הָכִי קָאָמַר - כַּךְ הוּא אוֹמֵר,ainsi il a été dit,✓,-,-,openai/gpt-oss-120b,,,Vocalisation correcte pour le sens « ainsi il a été dit »
הָכִי קָאָמְרִינַן,הָכִי - כַּךְ,ainsi on a voulu dire,✓,-,-,openai/gpt-oss-120b,,,"Vocalisation conforme aux sources talmudiques : הָכִי = ainsi, קָאָמְרִינַן = nous disons"
הִלְכְתָא,הִלְכְתָא - הֲלָכָה,loi donnée a Moché au mont Sinai/halakha,✓,-,-,,,,"Vocalisation correcte pour le sens « halakha » : הִלְכְתָא (hé avec hiriq, lamed avec shva, kaf avec dagesh, tav avec kamatz)."
הָנֵי - הָנֵי מִילֵּי,הָנֵי - אֵלּוּ,ceux-là/ces/voir aussi,✓,-,-,openai/gpt-oss-120b,,,Vocalisation correcte pour הָנֵי (« ceux‑là ») et מִילֵּי (« voir aussi ») selon le dictionnaire
הָנֵי מִילֵּי,הָנֵי מִילֵּי - דְּבָרִים אֵלּוּ; בַּמֶּה דְבָרִים אֲמוּרִים,il s'agit uniquement,✓,-,-,openai/gpt-oss-120b,,,Vocalisation correcte : הָנֵי מִילֵּי signifie « ces mots seulement » en araméen.
הָנִיחָא,הָנִיחָא - זוֹ נוֹחָה,ça va bien (dans ce cas/selon),✓,-,-,,,,"Vocalisation correcte du mot araméen הָנִיחָא signifiant «ça va bien», conforme aux occurrences du Talmud."
הָנָךְ,הָנָךְ - הָהֵם; אוֹתָם,ceux-là,✓,-,-,,,,Vocalisation correcte du pronom démonstratif 'הָנָךְ' signifiant 'ceux‑là'.
הֵעִיד,,il a témoigné,✓,-,-,,,,"Vocalisation correcte : hé‑‘i‑d (tzéré sous ה, hiriq sous ע), forme qal perfect 3ms signifiant « il a témoigné »."
הָשָׁתָא,הָשָׁתָא - עַכְשָׁיו,maintenant/si déjà,✗,false,הַשְׁתָּא,,,,"Le mot araméen «השתא» s’écrit habituellement avec patach sous ה, sheva sous שׁ et kamatz sous תּ, signifiant «maintenant». Le nikkud «הָשָׁתָא» utilise des kamatz incorrects."
הָתָם,הָתָם - שָׁם,là-bas,✓,-,-,,,,Vocalisation correcte pour le sens 'là‑bas' (équivalent à שָׁם).
וְאִי,אני מתחיל מסכת חולין:בהקלה לאחר זבחים-מנחותבחשש לאור אורך המסכתבחשש מפרק אלו טריפותכרגיל כמו כל מסכתהצבעהתוצאות,et si/or si/et ce n'est pas,✓,-,-,,,,"וְאִי avec sheva sous ו et hiriq sous א, signifiant « et si », correspond au sens visé."
וְאִי לְדִידָךְ,אני מתחיל מסכת חולין:בהקלה לאחר זבחים-מנחותבחשש לאור אורך המסכתבחשש מפרק אלו טריפותכרגיל כמו כל מסכתהצבעהתוצאות,et (or) si selon toi,✓,-,-,openai/gpt-oss-120b,,,Vocalisation correcte : וְאִי (et/si) + לְדִידָךְ (selon ton opinion). Aucun changement requis.
וְאִידָךְ,,et l'autre,✗,false,וְאִידַּךְ,,,,Le dalet doit porter un dagesh (וְאִידַּךְ) pour la forme araméenne signifiant « et l'autre »; le reste du nikkud est correct.
וַאֲפִילּוּ,,et même,✗,false,וַאֲפִילוּ,,,,Le dagesh dans ל est incorrect; la forme correcte est וַאֲפִילוּ signifiant « et même ».
וְגוֹ',,etc.,✗,-,-,,,,"Le sens « etc. » s’écrit וְגוֹ : sheva sous ו, holam sur ג. L’apostrophe finale n’appartient pas au mot. Correction IA rejetee car elle modifie le texte arameen au lieu du seul nikkud."
וַדַּאי,,il est évident/cas où l'on est sûr,✓,-,-,,,,"Le nikkud וַדַּאי est attesté dans la Guemara pour le sens «certainement», la patach sous ו et le dagesh fort dans ד sont corrects."
וְהָא,והא תנן - והרי שנינו,or pourtant/et celui-la/et ça,✓,-,-,,,,"וְהָא est la forme araméenne signifiant «et cela/et celui‑la», la vocalisation avec sheva sous ו et kamatz sous ה est correcte pour le sens visé"
וְהָא אֲנַן,והא תנן - והרי שנינו,or pourtant nous...,✗,-,-,openai/gpt-oss-120b,,,"Le nikkud de «אֲנַן» est erroné ; la forme araméenne correcte est «תְּנַן» (tav dagesh, shva) signifiant «et pourtant nous». Correction IA rejetee car elle modifie le texte arameen au lieu du seul nikkud."
וְהָכְתִיב,,or pourtant il est écrit (dans un verset),✓,-,-,,,,"וְהָכְתִיב est la forme araméenne avec וְ + הָ (qamatz) + כְ (sheva) + תִ (hiriq) + ב, correspondant à « et il est écrit », conforme au sens visé"
וְהַלֹּא,,et (or) pourtant,✗,false,וַהֲלֹא,,,,"«וַהֲלֹא» signifie «et pourtant» en araméen; il s’écrit avec patach sous ו, hataf‑patach sous ה, cholam sous ל, sans dagesh"
וְהָתַנְיָא,והתניא - והרי שנויה (פתיחה לקושיה); וזו שנויה,et pourtant (/effectivement) il y a une braïta ainsi,✓,-,-,,,,"וְהָתַנְיָא est la forme araméenne signifiant « et il est enseigné », avec le préfixe וְ et la vocalisation kamatz‑patach‑shva‑kamatz, conforme au sens visé."
וְהָתְנַן,והתנן - והרי שנינו,et pourtant (/effectivement) il y a une michna ainsi,✗,false,וְהִתְנַן,,,,"Le heh doit prendre hiriq (הִ) et le tav a sheva, le nun patach, forme nifal de תנן signifiant «il est enseigné», correspondant au sens français visé."
וְכוּ',,etc.,✗,false,וְכּוּ',,,,Le kaf doit porter un dagesh (וְכּוּ') pour la forme abrégée de 'וכולן'; la vocalisation shuruk est correcte.
וְכִי תֵימָא,וְכִי תֵימָא (ברכות ב ב)   - וּכְשֶׁתֹּאמַר; וְאִם תֹּאמַר,et si tu dis/et si tu essayes de répondre,✓,-,-,openai/gpt-oss-120b,,,"וְכִי = conjonction 'et si', תֵימָא = forme verbale araméenne 2e pers. masc. signifiant 'tu diras', nikkud conforme aux sources"
וְכֵיוָן,,et puisque,✓,-,-,,,,"Vocalisation correcte : וְ (sheva), כֵ (tzere), י (sans voyelle), וָ (kamatz), נ (sans voyelle) pour le sens « et puisque » en araméen"
וְכַמָּה,,et combien,✗,false,וְכַּמָּה,,,,Le kaf doit porter un dagesh dans «כמה»; la forme correcte est וְכַּמָּה pour le sens «et combien».
וְלָא מִידֵי,וְלָא - ולא; וְאֵין הַדָּבָר כֵּן,et rien du tout,✓,-,-,qwen/qwen3-32b,,,"La vocalisation étudiante correspond aux formes attestées dans les contextes de la Guemara (Berakhot 23b, 27a, 56a) pour le sens 'et rien du tout'. La forme 'וְלָא מִידֵי' est grammaticalement correcte avec le tsere sur le י et le dagesh dans le ד."
וּלְטַעְמָךְ,,et d'après toi,✓,-,-,,,,"Vocalisation conforme à l’usage talmudique : וּ (shuruk), לְ (sheva), טַ (patach), עְ (sheva), מָ (kamatz), ךְ (sheva) → «et d’après toi»."
וְלִיטַעְמָ(י)ךְ,וְלִיטְעָמָיךְ - וּלְטַעַמְךָ; וּלְשִׁיטָתְךָ,et d'après toi,✗,-,-,,,,"Le ט doit porter un sheva (טְ) et non un patach, et le י avant ך doit avoir un hiriq (יִ) ; la forme correcte est וְלִיטְעָמָיךְ correspondant à « et d'après toi ». Correction IA rejetee car elle modifie le texte arameen au lieu du seul nikkud."
וְלֵימָא,,(et) tu n'as qu'à dire,✓,-,-,,,,"«וְלֵימָא» est correctement vocalisé : vav avec sheva, lamed segol + yod, mem kamatz, aleph, signifiant «et tu n'as qu'à dire»."
וְלִיפְרוֹךְ,,(et) on n'a qu'à objecter...,✓,-,-,,,,"La vocalisation וְלִיפְרוֹךְ correspond à la forme imprimée du Talmud : sheva sous ו, hiriq sous ל, sheva sous פ, cholam sous ר et sheva final sous ך, signifiant « et on peut objecter »."
וְלִיתְנֵי,,(et) on n'a qu'à enseigner,✓,-,-,,,,"Vav avec sheva, לִ avec hiriq, תְ avec sheva, נֵי avec tzéré ; correspond au sens '(et) on n'a qu\'à enseigner'."
וְלִפְרוֹךְ,,(et) on n'a qu'à objecter...,✓,-,-,,,,"Vocalisation conforme à l’usage talmudique : וְ (sheva), לִ (hiriq), פְ (sheva), רוֹ (cholam), ךְ (sheva)."
וּמוֹדֶה,,et il est d'accord,✓,-,-,,,,"Vocalisation correcte : וּ (shuruk) + מֹ (cholam) + דֶ (segol) + ה final, correspondant au sens « et il est d'accord » en araméen."
וּמָטוּ,,et certains penchent (à dire),✓,-,-,,,,Vocalisation correcte : וּ (shuruk) + מָ (qamatz) + טוּ (shuruk) correspondant à « et certains penchent (à dire) ».
וּמִי מָצֵית אָמְרַתְּ הָכִי,וּמִיעֲרָב הוּא דְלָא עָרֵיב לְהוּ (תמורה לד א)   - וּלְעָרֵב הוּא שֶׁאֵינוֹ מְעָרֵב אוֹתָם,est-ce que tu peux dire ainsi,✗,false,וּמִי מָצֵית אָמַרְתְּ הָכִי,qwen/qwen3-32b,,,"L'erreur porte sur 'אמרת' : le mem final doit avoir un patach (אָמַרְתְּ) et non un tzere. La forme correcte correspond aux usages dans Shabbat, Yoma et Ketubot."
וּצְרִיכָא,,et on a eu besoin,✓,-,-,,,,"Vav avec shuruk, צְ avec shva, רִ avec hiriq, כָ avec kamatz et alef final, forme standard du verbe « צריך » signifiant « et on a eu besoin »."
וְקָסָבַר,,et il pense,✓,-,-,,,,"Le nikkud correspond à la forme araméenne קָסָבַר «penser», utilisée dans les passages cités."
וְרָמֵי,ורמינהו - וְהָטֵל אוֹתָן,et il objecte/Rami est aussi le Nom d'un rav,✓,-,-,,,,"Vocalisation conforme, le mot désigne le nom propre Rami ou l’objection d’un rav"
וּרְמִינְהוּ,ורמינהו - וְהָטֵל אוֹתָן,et on objecte,✓,-,-,,,,"Vocalisation conforme au modèle araméen רמינא, le préfixe וּ, sheva, hiriq, sheva et shuruk sont corrects pour le sens « et on objecte »."
וְשָׁוִין,,et ils sont d'accord (dans...),✗,-,-,,,,"Le verbe araméen « שׁוֹוִין » signifie « ils sont d’accord, ils sont égaux ». Le shin porte un cholam (שׁוֹ) et non un kamatz (שָׁ). Le préfixe וְ reste avec sheva. Correction IA rejetee car elle modifie le texte arameen au lieu du seul nikkud."
וְשָׁמְעִינַן,,et on nous a fait entendre,✓,-,-,,,,Vocalisation conforme à l’usage talmudique : וְ (vav avec sheva) + שָׁ (patach) + מְ (sheva) + עִ (hiriq) + נַ (patah) + ן (nun) forme 1re pers. pl. futur signifiant « et on nous fera entendre ».
וְתוּ לָא מִידֵּי,וְתוּ לֵיכָּא - וְאֵין עוֹד?,et il n'y a rien (à dire) en plus,✓,-,-,qwen/qwen3-32b,,,"La vocalisation étudiante correspond aux occurrences attestées dans la Guemara (עירובין קג ע""ב, סוכה לו ע""ב, יבמות לט ע""א) pour le sens ""et il n'y a rien (à dire) en plus"". La forme ""וְתוּ לָא מִידֵּי"" est grammaticalement correcte avec les voyelles et signes de prosodie préservés."
וְתוּ לֵיכָּא,וְתוּ לֵיכָּא - וְאֵין עוֹד?,est-ce qu'il n'y a pas (d'autres cas),✓,-,-,openai/gpt-oss-120b,,,Vocalisation conforme à l'usage talmudique pour la locution signifiant «il n’y a pas d’autre cas»
וְתִיפּוֹק לֵיהּ,,pourquoi tu n'apprends pas d’ici,✓,-,-,openai/gpt-oss-120b,,,"La vocalisation «וְתִיפּוֹק לֵיהּ» correspond à la forme talmudique attestée, avec sheva sous ו, hiriq sous ת, dagesh dans פּ, et qamatz‑hiriq sous לֵי, donc correcte pour le sens visé."
זִימְנָא,זִימְנָא - זְמַן; פְּעָמִים,une fois,✓,-,-,,,,"Vocalisation correcte du mot araméen זימנא signifiant «une fois» (hiriq sous ז, shva sous מ, kamatz sous נ)."
זִימְנָא חֲדָא,זִימְנָא חֲדָא - פַּעַם אַחַת,une fois,✓,-,-,openai/gpt-oss-120b,,,"Vocalisation correcte, correspond au sens «une fois»"
זִימְנִין סַגִּיאִין,זִימְנִין סַגִּיאִין - פְּעָמִים הַרְבֵּה,de nombreuses fois,✗,true,זִימְנִין סַגִּיאִין,openai/gpt-oss-120b,,,"Le nikkud correct est זִימְנִין סַגִּיאִין, avec hiriq sous ז, sheva sous מ, hiriq sous נ, patach sous ס, dagesh et hiriq sous גּ, etc., pour le sens « de nombreuses fois »."
זָקֵן,,homme âgé/sage,✓,-,-,,,,Vocalisation correcte pour l'adjectif hébreu/araméen «זָקֵן» signifiant homme âgé ou sage.
זָקָן,,barbe,✗,false,זָקַן,,,,"En araméen, le substantif «זָקַן» (barbe) s’écrit avec kamatz sous ז et patach sous נ ; le kamatz sous נ donne «זָקֵן» qui signifie «vieillard»."
חַד,חַד - אֶחָד,un/une/aiguisé/piquant,✓,-,-,,,,Le nikkud patach sous ח indique le sens 'un' (אחד) et correspond aux occurrences talmudiques du terme "חד" signifiant « un » ou « une mesure ».
חַד אֲמַר,חַד - אֶחָד,un (des avis) a dit,✗,false,חַד אָמַר,openai/gpt-oss-120b,,,Le verbe araméen אמר se vocalise אָמַר (kamatz sous aleph) ; חַד reste חַד avec patach. Le sheva sous aleph est incorrect.
חֲדָא,חֲדָא - אַחַת,un/une/premièrement,✓,-,-,,,,"La vocalisation חֲדָא (hataf patach sous ח, kamatz sous ד, aucune voyelle sur א) correspond à l'usage araméen signifiant «un/une, premièrement»."
חֲדָא זִימְנָא,חֲדָא זִימְנָא - פַּעַם אַחַת,une fois,✓,-,-,openai/gpt-oss-120b,,,Vocalisation conforme au dictionnaire et aux occurrences guémaratiques pour le sens «une fois».
חַדְתָּא,חַדְתָּא - חֲדָשָׁה; הֶחָדָשׁ,nouveau,✓,-,-,,,,Vocalisation correcte pour le sens "nouveau" en araméen
חַדְתֵּי,חַדְתִּי (ברכות ג ב)   - חֲדָשָׁה,nouveaux,✓,-,-,,,,"חַדְתֵּי avec tzere est attesté dans la Guemara (ex. Shabbat) pour le sens « nouveaux »; la forme avec hiriq (חַדְתִּי) est également utilisée, les deux sont correctes."
חֲזָא,חֲזָא - רָאָה,il a vu,✓,-,-,,,,Forme correcte du parfait 3e masc. sing. du verbe חזה « voir »
חִיוְיָא,חִיוְּיָא - נָחָשׁ,un serpent,✗,false,חִיוְּיָא,openai/gpt-oss-120b,,,Le vav doit porter un shuruk (וּ) et non un shva (וְ); la forme correcte est חִיוְּיָא signifiant « serpent ».
חַיָּיב,חַיֵּיב - חִיֵּב,il est condamné/coupable/obligé,✗,false,חַיִּיב,,,,"Le verbe araméen 'חייב' s’écrit חַיִּיב (patach sous ח, dagesh + hiriq sous י) pour le sens 'obligé, coupable, condamné'"
חָיְישִׁינַן,חָיְישִׁינַן - אָנוּ חוֹשְׁשִׁים,on craint,✓,-,-,,,,"Vocalisation correcte, correspond au sens «on craint» attesté dans les passages de la Guemara."
חֲלוּקִין,,ils discutent,✓,-,-,,,,Vocalisation correcte du participe pluriel «חֲלוּקִין» du verbe «חלוק» = ils discutent
חַמְרָא,חֲמָרָא - חֲמוֹר,du vin,✓,-,-,,,,Vocalisation correcte : חַמְרָא signifie « vin » en araméen babylonien.
חֲמָרָא,חֲמָרָא - חֲמוֹר,un âne,✓,-,-,,,,"חֲמָרָא avec chataf‑patach sous ח, qamatz sous מ et ר correspond à la forme araméenne « חמור » (âne) ; la vocalisation est conforme au dictionnaire et aux usages pour ce sens."
חַמְשָׁא,חַמְשָׁא - חֲמִשָּׁה,cinq/jeudi,✓,-,-,,,,"La vocalisation חַמְשָׁא correspond à l'aramaïque חמשא «cinq», conforme au sens visé."
טוּבָא,טוּבָא - מְאֹד; הַרְבֵּה,beaucoup,✓,-,-,,,,"Vocalisation correcte : טוּבָא signifie « beaucoup », conforme au dictionnaire et aux occurrences du Talmud."
טוּלָּא,טוּלָּא - צֵל; מַטְלִית בְּצוּרַת אֶצְבָּעוֹן,de l'ombre,✓,-,-,,,,"טוּלָּא avec shuruk, dagesh et kamatz correspond à « ombre »; conforme au dictionnaire et aux occurrences guémarotiques."
טַעְמָא מַאי,טַעֲמָא - טַעַם,pour quelle raison...,✓,-,-,openai/gpt-oss-120b,,,Vocalisation correcte : טַעְמָא מַאי correspond au sens «pour quelle raison?».
יְהַב,יְהַב - נָתַן,il a donné,✓,-,-,,,,"Forme correcte du verbe araméen «יהב» signifiant «il a donné», vocalisation yod‑sheva‑he‑patach‑bet."
יוֹמָא,יוֹמָא - יוֹם; שֶׁמֶשׁ; מַסֶכֶת יוֹמָא,jour,✓,-,-,,,,"יומא est la forme araméenne de « jour » ; la vocalisation יוֹמָא (holam sur י, kamatz sur מ) est la forme usuelle dans la Guémara"
יוֹמֵי,יוֹמֵי - יָמִים,des jours,✓,-,-,,,,"«יוֹמֵי» est la forme constructe plurielle d'«יום», correctement vocalisée pour le sens «des jours»."
יָכוֹל,,on pourrait croire que/il peut,✓,-,-,,,,"Vocalisation correcte : יָ (patah) + כֹּ (cholam) + ל sans voyelle, correspond au sens « il peut » en araméen."
יָשֵׁן,,il dort,✓,-,-,,,,"Le mot araméen ישן « il dort » se vocalise correctement en יָשֵׁן : patach sous י, dagesh et segol sous ש, aucune modification des consonnes."
יָשָׁן,,ancien,✗,false,יָשֵׁן,,,,En araméen babylonien le mot 'ישן' s’écrit avec segol sous le shin (יָשֵׁן) pour le sens 'ancien'.
יָתְבִי,יְתַבִי (חולין נט א)   - יָשַׁבְתִּי,ils étaient assis,✓,-,-,,,,Forme יָתְבִי avec kamatz sous י et shva sous ת correspond à la forme araméenne « ils étaient assis » attestée dans la Guemara.
יְתֵיב,יְתֵיב - יָשַׁב,il était assis,✗,false,יָתֵיב,,,,"Le yod porte un qamatz, pas un sheva; la forme יָתֵיב est le participe araméen signifiant « il était assis » tel que attesté dans les passages cités."
כָּאן,כאן - כאן,ici,✓,-,-,,,,Le nikkud « כָּאן » avec dagesh et kamatz est la forme correcte pour le sens « ici » en araméen babylonien.
כְּבָר,כְּבָר קְדַמוּךְ רַבָּנָן (שבת יט א; בבא בתרא קסז א; חולין קה א)   - כְּבָר קְדָמוּךָ חֲכָמִים (ולימדונו בענין זה),déjà,✓,-,-,,,,"Vocalisation correcte : כְּבָר (kaf avec dagesh, sheva, bet avec kamatz, resh) correspond à « déjà » en araméen babylonien."
